date,REGIME,CPI_YOY,GDP_GAP_SMOOTH,UNEMP_GAP
1971-01-31,Stagflation,5.277,-0.4223,-0.0478
1971-02-28,Stagflation,4.7244,-0.3485,-0.0529
1971-03-31,Stagflation,4.4386,-0.385,0.0421
1971-04-30,Stagflation,4.1558,-0.4702,-0.063
1971-05-31,Stagflation,4.4041,-0.6162,-0.0682
1971-06-30,Stagflation,4.3814,-0.6796,-0.0733
1971-07-31,Stagflation,4.3702,-0.6713,0.0215
1971-08-31,Stagflation,4.359,-0.7149,0.1163
1971-09-30,Stagflation,4.0816,-0.8599,0.011
1971-10-31,Stagflation,3.8071,-1.0445,-0.1942
1971-11-30,Stagflation,3.5354,-1.1215,0.0006
1971-12-31,Stagflation,3.2663,-0.9968,-0.0047
1972-01-31,Stagflation,3.2581,-0.6579,-0.2099
1972-02-29,Stagflation,3.7594,-0.1807,-0.3152
1972-03-31,Overheating,3.5,0.3549,-0.2204
1972-04-30,Overheating,3.4913,0.8384,-0.3257
1972-05-31,Overheating,3.2258,1.1835,-0.3309
1972-06-30,Overheating,2.963,1.3467,-0.3361
1972-07-31,Overheating,2.9557,1.3908,-0.4413
1972-08-31,Overheating,2.9484,1.4364,-0.4464
1972-09-30,Overheating,3.1863,1.5768,-0.5516
1972-10-31,Overheating,3.1785,1.8614,-0.4567
1972-11-30,Overheating,3.4146,2.2823,-0.7617
1972-12-31,Overheating,3.4063,2.8091,-0.8667
1973-01-31,Overheating,3.6408,3.3632,-1.1717
1973-02-28,Overheating,3.8647,3.8397,-1.0766
1973-03-31,Overheating,4.8309,4.1531,-1.1815
1973-04-30,Overheating,5.3012,4.2308,-1.0863
1973-05-31,Overheating,5.5288,4.0378,-1.191
1973-06-30,Overheating,5.9952,3.622,-1.1957
1973-07-31,Overheating,5.7416,3.143,-1.3004
1973-08-31,Overheating,7.3986,2.8305,-1.3049
1973-09-30,Overheating,7.3634,2.7491,-1.3093
1973-10-31,Overheating,8.0569,2.7733,-1.5138
1973-11-30,Overheating,8.2547,2.6408,-1.3181
1973-12-31,Overheating,8.9412,2.2297,-1.2224
1974-01-31,Overheating,9.6019,1.6377,-1.0266
1974-02-28,Overheating,10.0,1.1128,-0.9306
1974-03-31,Overheating,10.1382,0.7739,-1.0347
1974-04-30,Overheating,10.0686,0.5575,-1.0387
1974-05-31,Overheating,10.7062,0.255,-1.0425
1974-06-30,Stagflation,10.8597,-0.2179,-0.7463
1974-07-31,Stagflation,11.5385,-0.8192,-0.6501
1974-08-31,Stagflation,10.8889,-1.3865,-0.6537
1974-09-30,Stagflation,11.9469,-1.8471,-0.2573
1974-10-31,Stagflation,11.8421,-2.2507,-0.1608
1974-11-30,Stagflation,12.2004,-2.7289,0.4358
1974-12-31,Stagflation,12.095,-3.3407,1.0325
1975-01-31,Stagflation,11.7521,-3.9975,1.9292
1975-02-28,Stagflation,11.2051,-4.5233,1.926
1975-03-31,Stagflation,10.4603,-4.8068,2.4229
1975-04-30,Stagflation,10.1871,-4.8339,2.6198
1975-05-31,Stagflation,9.2593,-4.6761,2.8169
1975-06-30,Stagflation,9.1837,-4.4105,2.614
1975-07-31,Stagflation,9.5335,-4.1188,2.4111
1975-08-31,Stagflation,8.6172,-3.8784,2.2084
1975-09-30,Stagflation,7.9051,-3.6988,2.2057
1975-10-31,Stagflation,7.6471,-3.5177,2.203
1975-11-30,Stagflation,7.3786,-3.2318,2.1005
1975-12-31,Stagflation,7.1291,-2.8076,1.998
1976-01-31,Stagflation,6.6922,-2.333,1.6955
1976-02-29,Stagflation,6.2738,-1.9655,1.4932
1976-03-31,Stagflation,6.0606,-1.7968,1.3909
1976-04-30,Stagflation,5.8491,-1.8084,1.4886
1976-05-31,Stagflation,6.2147,-1.9016,1.1866
1976-06-30,Stagflation,5.9813,-2.0019,1.3845
1976-07-31,Stagflation,5.5556,-2.0789,1.5824
1976-08-31,Stagflation,5.7196,-2.1352,1.5806
1976-09-30,Stagflation,5.4945,-2.1761,1.3787
1976-10-31,Stagflation,5.4645,-2.1975,1.4769
1976-11-30,Stagflation,5.0633,-2.1891,1.5753
1976-12-31,Stagflation,5.036,-2.1345,1.5737
1977-01-31,Stagflation,5.1971,-2.0127,1.2721
1977-02-28,Stagflation,6.0823,-1.8135,1.3707
1977-03-31,Stagflation,6.4286,-1.5227,1.1693
1977-04-30,Stagflation,6.9519,-1.1594,0.968
1977-05-31,Stagflation,6.7376,-0.7415,0.7669
1977-06-30,Stagflation,6.7019,-0.3379,0.9658
1977-07-31,Stagflation,6.6667,-0.0179,0.6647
1977-08-31,Stagflation,6.6318,0.1258,0.7639
1977-09-30,Stagflation,6.4236,0.0563,0.5631
1977-10-31,Stagflation,6.3903,-0.2224,0.5622
1977-11-30,Stagflation,6.7126,-0.6342,0.5617
1977-12-31,Stagflation,6.6781,-1.0432,0.1612
1978-01-31,Stagflation,6.8143,-1.2197,0.1607
1978-02-28,Stagflation,6.2395,-0.9607,0.0605
1978-03-31,Stagflation,6.3758,-0.2087,0.0603
1978-04-30,Overheating,6.5,0.7705,-0.1399
1978-05-31,Overheating,7.1429,1.5851,-0.2398
1978-06-30,Overheating,7.438,1.9753,-0.3397
1978-07-31,Overheating,7.7303,2.0165,-0.0396
1978-08-31,Overheating,7.856,1.9839,-0.3391
1978-09-30,Overheating,8.4829,2.0491,-0.2387
1978-10-31,Overheating,8.9286,2.2008,-0.4382
1978-11-30,Overheating,8.871,2.2853,-0.3375
1978-12-31,Overheating,8.9888,2.2042,-0.2367
1979-01-31,Overheating,9.2504,1.9567,-0.3359
1979-02-28,Overheating,9.8413,1.6355,-0.3348
1979-03-31,Overheating,10.2524,1.3134,-0.4337
1979-04-30,Overheating,10.4851,1.0569,-0.4326
1979-05-31,Overheating,10.6977,0.8935,-0.6312
1979-06-30,Overheating,11.0769,0.8291,-0.5298
1979-07-31,Overheating,11.4504,0.8055,-0.5284
1979-08-31,Overheating,11.8361,0.7379,-0.2267
1979-09-30,Overheating,11.8797,0.5988,-0.325
1979-10-31,Overheating,12.0715,0.4325,-0.2233
1979-11-30,Overheating,12.5926,0.3289,-0.3233
1979-12-31,Overheating,13.2548,0.2826,-0.2232
1980-01-31,Stagflation,13.8686,0.1654,0.0768
1980-02-29,Stagflation,14.1618,-0.205,0.0797
1980-03-31,Stagflation,14.5923,-0.9032,0.0826
1980-04-30,Stagflation,14.5892,-1.7799,0.6856
1980-05-31,Stagflation,14.4258,-2.5847,1.2885
1980-06-30,Stagflation,14.2659,-3.1065,1.3914
1980-07-31,Stagflation,13.1507,-3.306,1.5943
1980-08-31,Stagflation,12.8901,-3.236,1.4972
1980-09-30,Stagflation,12.7688,-2.9685,1.3002
1980-10-31,Stagflation,12.633,-2.5369,1.3031
1980-11-30,Stagflation,12.6316,-1.9814,1.306
1980-12-31,Stagflation,12.3537,-1.3859,1.0089
1981-01-31,Stagflation,11.7949,-0.9357,1.3119
1981-02-28,Stagflation,11.3924,-0.8161,1.2148
1981-03-31,Stagflation,10.6117,-1.0789,1.2178
1981-04-30,Stagflation,10.136,-1.5241,1.0207
1981-05-31,Stagflation,9.7919,-1.8321,1.3236
1981-06-30,Stagflation,9.697,-1.8401,1.3266
1981-07-31,Stagflation,10.7748,-1.6606,1.0295
1981-08-31,Stagflation,10.8173,-1.5974,1.2325
1981-09-30,Stagflation,10.9654,-1.8397,1.4355
1981-10-31,Stagflation,10.2715,-2.4169,1.7384
1981-11-30,Stagflation,9.5794,-3.1888,2.1414
1981-12-31,Stagflation,8.912,-4.0165,2.3444
1982-01-31,Stagflation,8.2569,-4.7401,2.4474
1982-02-28,Stagflation,7.6136,-5.2367,2.7504
1982-03-31,Stagflation,6.8849,-5.4779,2.8534
1982-04-30,Stagflation,6.6218,-5.56,3.1564
1982-05-31,Stagflation,6.9119,-5.6666,3.2595
1982-06-30,Stagflation,7.1823,-5.8932,3.4625
1982-07-31,Stagflation,6.5574,-6.2402,3.6655
1982-08-31,Stagflation,5.9653,-6.6142,3.6686
1982-09-30,Stagflation,4.9409,-6.9347,3.9717
1982-10-31,Stagflation,5.0321,-7.1513,4.2747
1982-11-30,Stagflation,4.4776,-7.2452,4.6778
1982-12-31,Stagflation,3.8257,-7.2076,4.6809
1983-01-31,Stagflation,3.7076,-7.0284,4.284
1983-02-28,Stagflation,3.4847,-6.7237,4.2872
1983-03-31,Stagflation,3.5903,-6.305,4.1903
1983-04-30,Stagflation,4.0,-5.832,4.0935
1983-05-31,Stagflation,3.4411,-5.3537,3.9967
1983-06-30,Deflationary Bust,2.4742,-4.9271,3.9999
1983-07-31,Deflationary Bust,2.359,-4.5381,3.3031
1983-08-31,Deflationary Bust,2.4565,-4.1553,3.4063
1983-09-30,Stagflation,2.7636,-3.7565,3.1096
